scenario,node,commodity,level,year,time,value,unit
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2020,year,0.001689438,Mt/y
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2025,year,0.005235713,Mt/y
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2030,year,0.005221682,Mt/y
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2035,year,0.007028575,Mt/y
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2040,year,0.00947946,Mt/y
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2045,year,0.010848467,Mt/y
R,R12_AFR,app_mat_demand_acrylonitrile_butadiene_styrene,demand,2050,year,0.014871868,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2020,year,0.003381327,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2025,year,0.010367595,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2030,year,0.010415499,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2035,year,0.014058117,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2040,year,0.018860464,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2045,year,0.022186099,Mt/y
R,R12_AFR,app_mat_demand_aluminium,demand,2050,year,0.030477392,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2020,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2025,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2030,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2035,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2040,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2045,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polypropylene,demand,2050,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2020,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2025,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2030,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2035,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2040,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2045,year,0,Mt/y
R,R12_AFR,app_mat_demand_bio-based polystyrene,demand,2050,year,0,Mt/y
R,R12_AFR,app_mat_demand_copper,demand,2020,year,0.006398154,Mt/y
R,R12_AFR,app_mat_demand_copper,demand,2025,year,0.021277794,Mt/y
R,R12_AFR,app_mat_demand_copper,demand,2030,year,0.022295904,Mt/y
R,R12_AFR,app_mat_demand_copper,demand,2035,year,0.029980385,Mt/y
