node,commodity,level,year,time,value,unit
R12_AFR,comm_cool_electr,final,2020,year,0.8419535900942656,GWa
R12_AFR,comm_heat_biomass,final,2020,year,0.05508432231383486,GWa
R12_AFR,comm_heat_coal,final,2020,year,0.016311933020805164,GWa
R12_AFR,comm_heat_electr,final,2020,year,0.0074422034674988665,GWa
R12_AFR,comm_heat_gas,final,2020,year,6.536404370359257e-6,GWa
R12_AFR,comm_heat_lightoil,final,2020,year,0.01347547132296934,GWa
R12_AFR,comm_hotwater_biomass,final,2020,year,1.6607175243104775,GWa
R12_AFR,comm_hotwater_coal,final,2020,year,0.4917826322468684,GWa
R12_AFR,comm_hotwater_electr,final,2020,year,0.22437232952688566,GWa
R12_AFR,comm_hotwater_gas,final,2020,year,1.9706371678910236e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2020,year,0.40626716340231583,GWa
R12_AFR,comm_other_uses_electr,final,2020,year,1.6563584261616766,GWa
R12_AFR,comm_cool_electr,final,2025,year,1.0744136477093555,GWa
R12_AFR,comm_heat_biomass,final,2025,year,0.05326524099323624,GWa
R12_AFR,comm_heat_coal,final,2025,year,0.015773254656149947,GWa
R12_AFR,comm_heat_electr,final,2025,year,0.02031085704147885,GWa
R12_AFR,comm_heat_gas,final,2025,year,6.320548945031576e-6,GWa
R12_AFR,comm_heat_lightoil,final,2025,year,0.013030463067621432,GWa
R12_AFR,comm_hotwater_biomass,final,2025,year,1.5879999190061909,GWa
R12_AFR,comm_hotwater_coal,final,2025,year,0.4702490151061029,GWa
R12_AFR,comm_hotwater_electr,final,2025,year,0.6935887754826828,GWa
R12_AFR,comm_hotwater_gas,final,2025,year,1.8843491571584372e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2025,year,0.38847800010159417,GWa
R12_AFR,comm_other_uses_electr,final,2025,year,2.074637306691125,GWa
R12_AFR,comm_cool_electr,final,2030,year,1.3895494583966996,GWa
R12_AFR,comm_heat_biomass,final,2030,year,0.05096059141602671,GWa
R12_AFR,comm_heat_coal,final,2030,year,0.015090786615144404,GWa
R12_AFR,comm_heat_electr,final,2030,year,0.03703649555563282,GWa
R12_AFR,comm_heat_gas,final,2030,year,6.047075093609806e-6,GWa
R12_AFR,comm_heat_lightoil,final,2030,year,0.012466668543462112,GWa
R12_AFR,comm_hotwater_biomass,final,2030,year,1.5147712753142897,GWa
R12_AFR,comm_hotwater_coal,final,2030,year,0.4485640659057406,GWa
R12_AFR,comm_hotwater_electr,final,2030,year,1.3047122239602853,GWa
R12_AFR,comm_hotwater_gas,final,2030,year,1.7974547333822192e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2030,year,0.3705638196843729,GWa
R12_AFR,comm_other_uses_electr,final,2030,year,2.6147569780993867,GWa
R12_AFR,comm_cool_electr,final,2035,year,1.7860781858435901,GWa
R12_AFR,comm_heat_biomass,final,2035,year,0.04833177420953092,GWa
R12_AFR,comm_heat_coal,final,2035,year,0.014312323916557358,GWa
R12_AFR,comm_heat_electr,final,2035,year,0.058085527149544194,GWa
R12_AFR,comm_heat_gas,final,2035,year,5.735134955311778e-6,GWa
R12_AFR,comm_heat_lightoil,final,2035,year,0.01182357175309678,GWa
R12_AFR,comm_hotwater_biomass,final,2035,year,1.4423335109275746,GWa
R12_AFR,comm_hotwater_coal,final,2035,year,0.4271133171037153,GWa
R12_AFR,comm_hotwater_electr,final,2035,year,2.0940226688767036,GWa
R12_AFR,comm_hotwater_gas,final,2035,year,1.7114987855389372e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2035,year,0.3528431148506378,GWa
R12_AFR,comm_other_uses_electr,final,2035,year,3.587871266254793,GWa
R12_AFR,comm_cool_electr,final,2040,year,2.3547621631493496,GWa
R12_AFR,comm_heat_biomass,final,2040,year,0.04552387440949834,GWa
R12_AFR,comm_heat_coal,final,2040,year,0.013480830098644234,GWa
R12_AFR,comm_heat_electr,final,2040,year,0.08536906983088059,GWa
R12_AFR,comm_heat_gas,final,2040,year,5.401944519717732e-6,GWa
R12_AFR,comm_heat_lightoil,final,2040,year,0.01113666535860754,GWa
R12_AFR,comm_hotwater_biomass,final,2040,year,1.3751637798450855,GWa
R12_AFR,comm_hotwater_coal,final,2040,year,0.40722257308743093,GWa
R12_AFR,comm_hotwater_electr,final,2040,year,3.159478677767444,GWa
R12_AFR,comm_hotwater_gas,final,2040,year,1.6317939799527539e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2040,year,0.33641114751476964,GWa
R12_AFR,comm_other_uses_electr,final,2040,year,5.135803407582097,GWa
R12_AFR,comm_cool_electr,final,2045,year,3.1546277676066907,GWa
R12_AFR,comm_heat_biomass,final,2045,year,0.0426604902535322,GWa
R12_AFR,comm_heat_coal,final,2045,year,0.012632905887118764,GWa
R12_AFR,comm_heat_electr,final,2045,year,0.1210717943206608,GWa
R12_AFR,comm_heat_gas,final,2045,year,5.062170214300449e-6,GWa
R12_AFR,comm_heat_lightoil,final,2045,year,0.010436185631160952,GWa
R12_AFR,comm_hotwater_biomass,final,2045,year,1.3149318830740342,GWa
R12_AFR,comm_hotwater_coal,final,2045,year,0.38938630634967925,GWa
R12_AFR,comm_hotwater_electr,final,2045,year,4.627015634066214,GWa
R12_AFR,comm_hotwater_gas,final,2045,year,1.5603217327230656e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2045,year,0.3216764069645583,GWa
R12_AFR,comm_other_uses_electr,final,2045,year,7.613646645404868,GWa
R12_AFR,comm_cool_electr,final,2050,year,4.319438743781654,GWa
R12_AFR,comm_heat_biomass,final,2050,year,0.03984079921607801,GWa
R12_AFR,comm_heat_coal,final,2050,year,0.011797920370168568,GWa
R12_AFR,comm_heat_electr,final,2050,year,0.16809996127010926,GWa
R12_AFR,comm_heat_gas,final,2050,year,4.727580636777551e-6,GWa
R12_AFR,comm_heat_lightoil,final,2050,year,0.009746394704846452,GWa
R12_AFR,comm_hotwater_biomass,final,2050,year,1.2622217179059843,GWa
R12_AFR,comm_hotwater_coal,final,2050,year,0.3737774244096388,GWa
R12_AFR,comm_hotwater_electr,final,2050,year,6.677756387761436,GWa
R12_AFR,comm_hotwater_gas,final,2050,year,1.4977749093478303e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2050,year,0.3087817340466981,GWa
R12_AFR,comm_other_uses_electr,final,2050,year,11.568857485832003,GWa
R12_AFR,comm_cool_electr,final,2055,year,6.119326784637803,GWa
R12_AFR,comm_heat_biomass,final,2055,year,0.03713911638440756,GWa
R12_AFR,comm_heat_coal,final,2055,year,0.010997880221828286,GWa
R12_AFR,comm_heat_electr,final,2055,year,0.23089685450576575,GWa
R12_AFR,comm_heat_gas,final,2055,year,4.406994097952687e-6,GWa
R12_AFR,comm_heat_lightoil,final,2055,year,0.009085472540581015,GWa
R12_AFR,comm_hotwater_biomass,final,2055,year,1.2174617987618672,GWa
R12_AFR,comm_hotwater_coal,final,2055,year,0.36052282178495587,GWa
R12_AFR,comm_hotwater_electr,final,2055,year,9.591229784408036,GWa
