R12,urt,arch,mat,eneff,fuel_heat,fuel_cool,scenario,year,stock_M,floor_Mm2,heat_TJ,cool_TJ,cool_ac_TJ,cool_fans_TJ,hotwater_TJ,other_uses_TJ
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2020,27.095816669291562,27.095816669291562,160.5620916477527,220.3133267011223,14.038012533422469,206.2753141676998,5129.259098484998,799.6950559086958
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2025,25.234305006258843,25.234305006258843,154.73343279243534,205.85998447234567,13.756005599903387,192.1039788724423,4879.1300855967875,738.0777148125313
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2030,23.617601301373337,23.617601301373337,148.87725502599903,193.82532266742726,14.029002527413708,179.79632014001356,4674.35212328403,682.3942203582454
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2035,22.213796725106196,22.213796725106196,143.15021968854205,183.94062254201188,14.83120043989252,169.10942210211937,4508.76746016437,687.2295505345832
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2040,20.9931934287366,20.9931934287366,137.64458393728373,175.3274904074002,15.510289739453123,159.81720066794708,4387.102351688156,717.4061414931545
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2045,19.928848864125495,19.928848864125495,132.40840342309613,167.7563146587407,16.041767331137805,151.7145473276029,4306.96982268572,770.5538444659561
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2050,18.99678335719654,18.99678335719654,127.46097166537193,161.7059073002389,17.086997930843662,144.61890936939523,4264.063499299393,843.3112084844283
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2055,18.175971601529426,18.175971601529426,122.80422814857283,155.86645366081223,17.496228538150095,138.37022512266213,4254.9496327684155,932.030860656779
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2060,17.448204638582084,17.448204638582084,118.43090903702318,151.28919511149113,18.459321872559894,132.8298732389312,4271.168455216999,1026.3421735918014
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2070,16.198988270371714,16.198988270371714,110.40405475121487,145.1467134995149,21.82688758485413,123.3198259146608,4332.035598179322,1179.2921711744468
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2080,15.166772326147372,15.166772326147372,103.41449825827141,145.2117392047709,29.74997753600118,115.46176166876974,4363.921869656694,1232.734074757042
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2090,14.282276259296522,14.282276259296522,97.38356992366272,149.7674645091567,41.03920367166161,108.72826083749509,4313.090033894976,1200.0751417743152
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2100,13.430240790563465,13.430240790563465,90.80760074137633,148.70529106779892,46.32874832310505,102.37654274469388,4159.376422016639,1129.4536928364087
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2020,15.044610066268309,15.044610066268309,47.54670611579741,122.32619275056284,7.7944292009829725,114.53176354957986,1518.9100518338832,444.0205820297028
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2025,14.011029220703985,14.011029220703985,45.820685192686554,114.30115698054499,7.637848412019167,106.66330856852584,1444.8401979544774,409.8083314291348
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2030,13.11337490269328,13.11337490269328,44.086515187900616,107.61906297516097,7.789426508877698,99.82963646628329,1384.1999964381823,378.89077424930605
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2035,12.333930137581941,12.333930137581941,42.390587691473286,102.13070804476567,8.234836770425977,93.8958712743397,1335.1659733140737,381.57553027373643
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2040,11.656205569879477,11.656205569879477,40.76022250178958,97.34837518540196,8.61189252922719,88.73648265617476,1299.1376985362588,398.3307013639755
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2045,11.065241689879096,11.065241689879096,39.20965017478177,93.14457545223098,8.906988750950774,84.23758670128021,1275.4083252598543,427.8402923427187
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2050,10.54772408637342,10.54772408637342,37.744584034973506,89.78516316520644,9.48733984333642,80.29782332187003,1262.7026216442098,468.2379000058549
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2055,10.091978723429417,10.091978723429417,36.36559841520268,86.54288026671023,9.71455997065064,76.8283202960596,1260.0037633435968,517.4983666092626
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2060,9.687895306774484,9.687895306774484,35.07054230068935,84.00141525412472,10.249305383493065,73.75210987063166,1264.8065880732004,569.8635322455018
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2070,8.99428369222658,8.99428369222658,32.69357724122445,80.59087990036285,12.11910372294191,68.47177617742094,1282.830968108116,654.7870871025336
