R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
AFR,rur,comm,perm,s1,aluminum,SSP2,2025,143.99556733676,0,1.386045524744,0.2918310165171655,0,0.0028090522639431887
AFR,rur,comm,perm,s1,aluminum,SSP2,2030,134.77010354284,0,1.1539640226660002,0.27313407655841243,0,0.002338700419654415
AFR,rur,comm,perm,s1,aluminum,SSP2,2035,126.75951492789001,0,0.9520689284920001,0.2568992836294436,0,0.0019295263620611432
AFR,rur,comm,perm,s1,aluminum,SSP2,2040,119.79433541898,0,0.778705976556,0.24278318648906427,0,0.0015781774460797288
AFR,rur,comm,perm,s1,aluminum,SSP2,2045,113.72082162954001,0,0.6315190572220001,0.23047419854044138,0,0.0012798786228470933
AFR,rur,comm,perm,s1,aluminum,SSP2,2050,108.40213734517,0,0.5078284602300001,0.21969499838901194,0,0.0010291990129020763
AFR,rur,comm,perm,s1,aluminum,SSP2,2055,103.71830498265001,0,0.404877729002,0.2102024314660768,0,8.205521975790126e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,2060,99.56541800234001,0,0.31998550887800004,0.20178591385126424,0,6.485039647660752e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,2070,92.43696252802002,0,0.226335218337,0.18733891075426623,0,4.587060425717651e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,2080,86.54678562528001,0,0.13350829224400002,0.1754014855627498,0,2.7057680565900947e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,2090,81.49954882134001,0,0.075778686594,0.16517241897174895,0,1.5357813818909957e-4
AFR,rur,comm,perm,s1,aluminum,SSP2,2100,76.86948049159001,0,0.041312772747,0.15578881382191226,0,8.372721944769093e-5
AFR,rur,comm,perm,s1,cement,SSP2,2025,143.99556733676,0,1.386045524744,20.894116809482217,0,0.20111867075416626
AFR,rur,comm,perm,s1,cement,SSP2,2030,134.77010354284,0,1.1539640226660002,19.555478949324943,0,0.16744306459889327
